Adaptive Rate Log (interval=1s)
Time,Dist(km),Elev,BF(dB),SNR,Rate(Mbps),Status
764.00s,   1541.78,   46.92°,  10.16,   22.25 dB,    1849.97,  [OK   >=40.00°]
765.00s,   1536.67,   47.19°,  10.18,   22.30 dB,    1853.93,  [OK   >=40.00°]
766.00s,   1531.60,   47.46°,  10.20,   22.35 dB,    1857.87,  [OK   >=40.00°]
767.00s,   1526.55,   47.74°,  10.22,   22.39 dB,    1861.81,  [OK   >=40.00°]
768.00s,   1521.53,   48.01°,  10.23,   22.44 dB,    1865.74,  [OK   >=40.00°]
769.00s,   1516.53,   48.29°,  10.25,   22.49 dB,    1869.65,  [OK   >=40.00°]
770.00s,   1511.57,   48.57°,  10.27,   22.54 dB,    1873.55,  [OK   >=40.00°]
771.00s,   1506.63,   48.85°,  10.29,   22.58 dB,    1877.44,  [OK   >=40.00°]
772.00s,   1501.72,   49.13°,  10.31,   22.63 dB,    1881.32,  [OK   >=40.00°]
773.00s,   1496.84,   49.42°,  10.33,   22.68 dB,    1885.19,  [OK   >=40.00°]
774.00s,   1491.99,   49.70°,  10.35,   22.72 dB,    1889.04,  [OK   >=40.00°]
775.00s,   1487.17,   49.99°,  10.36,   22.77 dB,    1892.88,  [OK   >=40.00°]
776.00s,   1482.37,   50.28°,  10.38,   22.82 dB,    1896.71,  [OK   >=40.00°]
777.00s,   1477.61,   50.57°,  10.40,   22.86 dB,    1900.52,  [OK   >=40.00°]
778.00s,   1472.88,   50.86°,  10.42,   22.91 dB,    1904.32,  [OK   >=40.00°]
779.00s,   1468.17,   51.16°,  10.44,   22.95 dB,    1908.10,  [OK   >=40.00°]
780.00s,   1463.50,   51.45°,  10.46,   23.00 dB,    1911.87,  [OK   >=40.00°]
781.00s,   1458.86,   51.75°,  10.47,   23.04 dB,    1915.62,  [OK   >=40.00°]
782.00s,   1454.25,   52.05°,  10.49,   23.09 dB,    1919.36,  [OK   >=40.00°]
783.00s,   1449.68,   52.35°,  10.51,   23.14 dB,    1923.08,  [OK   >=40.00°]
784.00s,   1445.13,   52.65°,  10.53,   23.18 dB,    1926.78,  [OK   >=40.00°]
785.00s,   1440.62,   52.95°,  10.54,   23.22 dB,    1930.47,  [OK   >=40.00°]
786.00s,   1436.14,   53.26°,  10.56,   23.27 dB,    1934.14,  [OK   >=40.00°]
787.00s,   1431.69,   53.56°,  10.58,   23.31 dB,    1937.80,  [OK   >=40.00°]
788.00s,   1427.27,   53.87°,  10.60,   23.36 dB,    1941.43,  [OK   >=40.00°]
789.00s,   1422.89,   54.18°,  10.61,   23.40 dB,    1945.05,  [OK   >=40.00°]
790.00s,   1418.55,   54.49°,  10.63,   23.44 dB,    1948.64,  [OK   >=40.00°]
791.00s,   1414.23,   54.80°,  10.65,   23.49 dB,    1952.22,  [OK   >=40.00°]
792.00s,   1409.95,   55.12°,  10.66,   23.53 dB,    1955.78,  [OK   >=40.00°]
793.00s,   1405.71,   55.43°,  10.68,   23.57 dB,    1959.32,  [OK   >=40.00°]
794.00s,   1401.50,   55.75°,  10.70,   23.62 dB,    1962.84,  [OK   >=40.00°]
795.00s,   1397.33,   56.07°,  10.71,   23.66 dB,    1966.33,  [OK   >=40.00°]
796.00s,   1393.19,   56.39°,  10.73,   23.70 dB,    1969.81,  [OK   >=40.00°]
797.00s,   1389.09,   56.72°,  10.74,   23.74 dB,    1973.26,  [OK   >=40.00°]
798.00s,   1385.02,   57.04°,  10.76,   23.78 dB,    1976.69,  [OK   >=40.00°]
799.00s,   1381.00,   57.37°,  10.78,   23.82 dB,    1980.10,  [OK   >=40.00°]
800.00s,   1377.01,   57.69°,  10.79,   23.87 dB,    1983.49,  [OK   >=40.00°]
801.00s,   1373.05,   58.02°,  10.81,   23.91 dB,    1986.85,  [OK   >=40.00°]
802.00s,   1369.14,   58.35°,  10.82,   23.95 dB,    1990.19,  [OK   >=40.00°]
803.00s,   1365.26,   58.69°,  10.84,   23.99 dB,    1993.50,  [OK   >=40.00°]
804.00s,   1361.42,   59.02°,  10.85,   24.03 dB,    1996.79,  [OK   >=40.00°]
805.00s,   1357.62,   59.35°,  10.87,   24.07 dB,    2000.05,  [OK   >=40.00°]
806.00s,   1353.86,   59.69°,  10.88,   24.11 dB,    2003.29,  [OK   >=40.00°]
807.00s,   1350.14,   60.03°,  10.90,   24.14 dB,    2006.50,  [OK   >=40.00°]
808.00s,   1346.45,   60.37°,  10.91,   24.18 dB,    2009.68,  [OK   >=40.00°]
809.00s,   1342.81,   60.71°,  10.93,   24.22 dB,    2012.84,  [OK   >=40.00°]
810.00s,   1339.21,   61.05°,  10.94,   24.26 dB,    2015.96,  [OK   >=40.00°]
811.00s,   1335.65,   61.40°,  10.96,   24.30 dB,    2019.06,  [OK   >=40.00°]
812.00s,   1332.13,   61.74°,  10.97,   24.33 dB,    2022.13,  [OK   >=40.00°]
813.00s,   1328.65,   62.09°,  10.99,   24.37 dB,    2025.17,  [OK   >=40.00°]
814.00s,   1325.21,   62.44°,  11.00,   24.41 dB,    2028.19,  [OK   >=40.00°]
815.00s,   1321.82,   62.79°,  11.01,   24.44 dB,    2031.17,  [OK   >=40.00°]
816.00s,   1318.46,   63.14°,  11.03,   24.48 dB,    2034.12,  [OK   >=40.00°]
817.00s,   1315.16,   63.49°,  11.04,   24.51 dB,    2037.04,  [OK   >=40.00°]
818.00s,   1311.89,   63.85°,  11.05,   24.55 dB,    2039.92,  [OK   >=40.00°]
819.00s,   1308.67,   64.20°,  11.07,   24.58 dB,    2042.78,  [OK   >=40.00°]
820.00s,   1305.49,   64.56°,  11.08,   24.62 dB,    2045.60,  [OK   >=40.00°]
821.00s,   1302.35,   64.92°,  11.09,   24.65 dB,    2048.39,  [OK   >=40.00°]
822.00s,   1299.26,   65.28°,  11.11,   24.68 dB,    2051.14,  [OK   >=40.00°]
823.00s,   1296.21,   65.64°,  11.12,   24.72 dB,    2053.86,  [OK   >=40.00°]
824.00s,   1293.21,   66.00°,  11.13,   24.75 dB,    2056.55,  [OK   >=40.00°]
825.00s,   1290.25,   66.36°,  11.14,   24.78 dB,    2059.20,  [OK   >=40.00°]
826.00s,   1287.34,   66.73°,  11.15,   24.81 dB,    2061.81,  [OK   >=40.00°]
827.00s,   1284.48,   67.09°,  11.17,   24.84 dB,    2064.39,  [OK   >=40.00°]
828.00s,   1281.66,   67.46°,  11.18,   24.87 dB,    2066.93,  [OK   >=40.00°]
829.00s,   1278.89,   67.82°,  11.19,   24.90 dB,    2069.44,  [OK   >=40.00°]
830.00s,   1276.16,   68.19°,  11.20,   24.93 dB,    2071.90,  [OK   >=40.00°]
831.00s,   1273.49,   68.56°,  11.21,   24.96 dB,    2074.33,  [OK   >=40.00°]
832.00s,   1270.86,   68.93°,  11.22,   24.99 dB,    2076.72,  [OK   >=40.00°]
833.00s,   1268.27,   69.30°,  11.23,   25.02 dB,    2079.07,  [OK   >=40.00°]
834.00s,   1265.74,   69.67°,  11.24,   25.05 dB,    2081.38,  [OK   >=40.00°]
835.00s,   1263.25,   70.05°,  11.25,   25.08 dB,    2083.65,  [OK   >=40.00°]
836.00s,   1260.81,   70.42°,  11.26,   25.10 dB,    2085.88,  [OK   >=40.00°]
837.00s,   1258.43,   70.79°,  11.27,   25.13 dB,    2088.07,  [OK   >=40.00°]
838.00s,   1256.09,   71.17°,  11.28,   25.16 dB,    2090.22,  [OK   >=40.00°]
839.00s,   1253.80,   71.54°,  11.29,   25.18 dB,    2092.32,  [OK   >=40.00°]
840.00s,   1251.56,   71.91°,  11.30,   25.21 dB,    2094.38,  [OK   >=40.00°]
841.00s,   1249.37,   72.29°,  11.31,   25.23 dB,    2096.40,  [OK   >=40.00°]
842.00s,   1247.23,   72.66°,  11.32,   25.25 dB,    2098.38,  [OK   >=40.00°]
843.00s,   1245.14,   73.04°,  11.33,   25.28 dB,    2100.31,  [OK   >=40.00°]
844.00s,   1243.10,   73.41°,  11.34,   25.30 dB,    2102.20,  [OK   >=40.00°]
845.00s,   1241.11,   73.79°,  11.35,   25.32 dB,    2104.04,  [OK   >=40.00°]
846.00s,   1239.18,   74.16°,  11.35,   25.34 dB,    2105.84,  [OK   >=40.00°]
847.00s,   1237.29,   74.54°,  11.36,   25.37 dB,    2107.59,  [OK   >=40.00°]
848.00s,   1235.46,   74.91°,  11.37,   25.39 dB,    2109.30,  [OK   >=40.00°]
849.00s,   1233.68,   75.28°,  11.38,   25.41 dB,    2110.96,  [OK   >=40.00°]
850.00s,   1231.95,   75.66°,  11.39,   25.43 dB,    2112.57,  [OK   >=40.00°]
851.00s,   1230.28,   76.03°,  11.39,   25.44 dB,    2114.14,  [OK   >=40.00°]
852.00s,   1228.65,   76.40°,  11.40,   25.46 dB,    2115.66,  [OK   >=40.00°]
853.00s,   1227.08,   76.76°,  11.41,   25.48 dB,    2117.13,  [OK   >=40.00°]
854.00s,   1225.57,   77.13°,  11.41,   25.50 dB,    2118.55,  [OK   >=40.00°]
855.00s,   1224.10,   77.49°,  11.42,   25.51 dB,    2119.92,  [OK   >=40.00°]
856.00s,   1222.69,   77.86°,  11.42,   25.53 dB,    2121.25,  [OK   >=40.00°]
857.00s,   1221.34,   78.21°,  11.43,   25.55 dB,    2122.52,  [OK   >=40.00°]
858.00s,   1220.03,   78.57°,  11.44,   25.56 dB,    2123.75,  [OK   >=40.00°]
859.00s,   1218.79,   78.92°,  11.44,   25.57 dB,    2124.93,  [OK   >=40.00°]
860.00s,   1217.59,   79.27°,  11.45,   25.59 dB,    2126.05,  [OK   >=40.00°]
861.00s,   1216.45,   79.61°,  11.45,   25.60 dB,    2127.13,  [OK   >=40.00°]
862.00s,   1215.37,   79.95°,  11.46,   25.61 dB,    2128.15,  [OK   >=40.00°]
863.00s,   1214.34,   80.29°,  11.46,   25.63 dB,    2129.13,  [OK   >=40.00°]
864.00s,   1213.36,   80.61°,  11.46,   25.64 dB,    2130.05,  [OK   >=40.00°]
865.00s,   1212.44,   80.93°,  11.47,   25.65 dB,    2130.92,  [OK   >=40.00°]
866.00s,   1211.58,   81.24°,  11.47,   25.66 dB,    2131.74,  [OK   >=40.00°]
867.00s,   1210.77,   81.54°,  11.48,   25.67 dB,    2132.51,  [OK   >=40.00°]
868.00s,   1210.01,   81.84°,  11.48,   25.67 dB,    2133.23,  [OK   >=40.00°]
869.00s,   1209.31,   82.12°,  11.48,   25.68 dB,    2133.89,  [OK   >=40.00°]
870.00s,   1208.67,   82.38°,  11.48,   25.69 dB,    2134.50,  [OK   >=40.00°]
871.00s,   1208.08,   82.64°,  11.49,   25.70 dB,    2135.06,  [OK   >=40.00°]
872.00s,   1207.55,   82.87°,  11.49,   25.70 dB,    2135.57,  [OK   >=40.00°]
873.00s,   1207.07,   83.09°,  11.49,   25.71 dB,    2136.02,  [OK   >=40.00°]
874.00s,   1206.65,   83.29°,  11.49,   25.71 dB,    2136.42,  [OK   >=40.00°]
875.00s,   1206.29,   83.47°,  11.49,   25.72 dB,    2136.77,  [OK   >=40.00°]
876.00s,   1205.98,   83.62°,  11.50,   25.72 dB,    2137.06,  [OK   >=40.00°]
877.00s,   1205.72,   83.75°,  11.50,   25.72 dB,    2137.30,  [OK   >=40.00°]
878.00s,   1205.53,   83.85°,  11.50,   25.73 dB,    2137.49,  [OK   >=40.00°]
879.00s,   1205.39,   83.93°,  11.50,   25.73 dB,    2137.62,  [OK   >=40.00°]
880.00s,   1205.30,   83.97°,  11.50,   25.73 dB,    2137.70,  [OK   >=40.00°]
881.00s,   1205.27,   83.99°,  11.50,   25.73 dB,    2137.73,  [OK   >=40.00°]
882.00s,   1205.30,   83.97°,  11.50,   25.73 dB,    2137.70,  [OK   >=40.00°]
883.00s,   1205.39,   83.93°,  11.50,   25.73 dB,    2137.62,  [OK   >=40.00°]
884.00s,   1205.53,   83.86°,  11.50,   25.73 dB,    2137.49,  [OK   >=40.00°]
885.00s,   1205.72,   83.75°,  11.50,   25.72 dB,    2137.30,  [OK   >=40.00°]
886.00s,   1205.97,   83.62°,  11.50,   25.72 dB,    2137.06,  [OK   >=40.00°]
887.00s,   1206.28,   83.47°,  11.49,   25.72 dB,    2136.77,  [OK   >=40.00°]
888.00s,   1206.65,   83.29°,  11.49,   25.71 dB,    2136.42,  [OK   >=40.00°]
889.00s,   1207.06,   83.09°,  11.49,   25.71 dB,    2136.02,  [OK   >=40.00°]
890.00s,   1207.54,   82.88°,  11.49,   25.70 dB,    2135.57,  [OK   >=40.00°]
891.00s,   1208.07,   82.64°,  11.49,   25.70 dB,    2135.07,  [OK   >=40.00°]
892.00s,   1208.66,   82.39°,  11.48,   25.69 dB,    2134.51,  [OK   >=40.00°]
893.00s,   1209.30,   82.12°,  11.48,   25.68 dB,    2133.90,  [OK   >=40.00°]
894.00s,   1210.00,   81.84°,  11.48,   25.67 dB,    2133.24,  [OK   >=40.00°]
895.00s,   1210.75,   81.55°,  11.48,   25.67 dB,    2132.52,  [OK   >=40.00°]
896.00s,   1211.56,   81.25°,  11.47,   25.66 dB,    2131.75,  [OK   >=40.00°]
897.00s,   1212.43,   80.94°,  11.47,   25.65 dB,    2130.93,  [OK   >=40.00°]
898.00s,   1213.35,   80.62°,  11.46,   25.64 dB,    2130.06,  [OK   >=40.00°]
899.00s,   1214.32,   80.29°,  11.46,   25.63 dB,    2129.14,  [OK   >=40.00°]
900.00s,   1215.35,   79.96°,  11.46,   25.61 dB,    2128.17,  [OK   >=40.00°]
901.00s,   1216.44,   79.62°,  11.45,   25.60 dB,    2127.14,  [OK   >=40.00°]
902.00s,   1217.57,   79.28°,  11.45,   25.59 dB,    2126.07,  [OK   >=40.00°]
903.00s,   1218.77,   78.93°,  11.44,   25.57 dB,    2124.94,  [OK   >=40.00°]
904.00s,   1220.02,   78.58°,  11.44,   25.56 dB,    2123.77,  [OK   >=40.00°]
905.00s,   1221.32,   78.22°,  11.43,   25.55 dB,    2122.54,  [OK   >=40.00°]
906.00s,   1222.67,   77.86°,  11.42,   25.53 dB,    2121.27,  [OK   >=40.00°]
907.00s,   1224.08,   77.50°,  11.42,   25.51 dB,    2119.94,  [OK   >=40.00°]
908.00s,   1225.54,   77.14°,  11.41,   25.50 dB,    2118.57,  [OK   >=40.00°]
909.00s,   1227.06,   76.77°,  11.41,   25.48 dB,    2117.15,  [OK   >=40.00°]
910.00s,   1228.63,   76.40°,  11.40,   25.46 dB,    2115.68,  [OK   >=40.00°]
911.00s,   1230.25,   76.03°,  11.39,   25.44 dB,    2114.16,  [OK   >=40.00°]
912.00s,   1231.93,   75.66°,  11.39,   25.43 dB,    2112.60,  [OK   >=40.00°]
913.00s,   1233.65,   75.29°,  11.38,   25.41 dB,    2110.98,  [OK   >=40.00°]
914.00s,   1235.43,   74.92°,  11.37,   25.39 dB,    2109.32,  [OK   >=40.00°]
915.00s,   1237.27,   74.54°,  11.36,   25.37 dB,    2107.62,  [OK   >=40.00°]
916.00s,   1239.15,   74.17°,  11.35,   25.34 dB,    2105.87,  [OK   >=40.00°]
917.00s,   1241.08,   73.79°,  11.35,   25.32 dB,    2104.07,  [OK   >=40.00°]
918.00s,   1243.07,   73.42°,  11.34,   25.30 dB,    2102.23,  [OK   >=40.00°]
919.00s,   1245.11,   73.04°,  11.33,   25.28 dB,    2100.34,  [OK   >=40.00°]
920.00s,   1247.20,   72.67°,  11.32,   25.25 dB,    2098.41,  [OK   >=40.00°]
921.00s,   1249.34,   72.29°,  11.31,   25.23 dB,    2096.43,  [OK   >=40.00°]
922.00s,   1251.53,   71.92°,  11.30,   25.21 dB,    2094.41,  [OK   >=40.00°]
923.00s,   1253.76,   71.55°,  11.29,   25.18 dB,    2092.35,  [OK   >=40.00°]
924.00s,   1256.05,   71.17°,  11.28,   25.16 dB,    2090.25,  [OK   >=40.00°]
925.00s,   1258.39,   70.80°,  11.27,   25.13 dB,    2088.10,  [OK   >=40.00°]
926.00s,   1260.78,   70.42°,  11.26,   25.10 dB,    2085.91,  [OK   >=40.00°]
927.00s,   1263.22,   70.05°,  11.25,   25.08 dB,    2083.68,  [OK   >=40.00°]
928.00s,   1265.70,   69.68°,  11.24,   25.05 dB,    2081.42,  [OK   >=40.00°]
929.00s,   1268.24,   69.31°,  11.23,   25.02 dB,    2079.11,  [OK   >=40.00°]
930.00s,   1270.82,   68.94°,  11.22,   24.99 dB,    2076.76,  [OK   >=40.00°]
931.00s,   1273.45,   68.57°,  11.21,   24.96 dB,    2074.37,  [OK   >=40.00°]
932.00s,   1276.13,   68.20°,  11.20,   24.93 dB,    2071.94,  [OK   >=40.00°]
933.00s,   1278.85,   67.83°,  11.19,   24.90 dB,    2069.47,  [OK   >=40.00°]
934.00s,   1281.62,   67.46°,  11.18,   24.87 dB,    2066.97,  [OK   >=40.00°]
935.00s,   1284.44,   67.10°,  11.17,   24.84 dB,    2064.43,  [OK   >=40.00°]
936.00s,   1287.30,   66.73°,  11.15,   24.81 dB,    2061.85,  [OK   >=40.00°]
937.00s,   1290.22,   66.37°,  11.14,   24.78 dB,    2059.24,  [OK   >=40.00°]
938.00s,   1293.17,   66.00°,  11.13,   24.75 dB,    2056.58,  [OK   >=40.00°]
939.00s,   1296.17,   65.64°,  11.12,   24.72 dB,    2053.90,  [OK   >=40.00°]
940.00s,   1299.22,   65.28°,  11.11,   24.68 dB,    2051.18,  [OK   >=40.00°]
941.00s,   1302.31,   64.92°,  11.09,   24.65 dB,    2048.42,  [OK   >=40.00°]
942.00s,   1305.44,   64.56°,  11.08,   24.62 dB,    2045.64,  [OK   >=40.00°]
943.00s,   1308.62,   64.21°,  11.07,   24.58 dB,    2042.81,  [OK   >=40.00°]
944.00s,   1311.85,   63.85°,  11.05,   24.55 dB,    2039.96,  [OK   >=40.00°]
945.00s,   1315.11,   63.50°,  11.04,   24.51 dB,    2037.07,  [OK   >=40.00°]
946.00s,   1318.42,   63.15°,  11.03,   24.48 dB,    2034.15,  [OK   >=40.00°]
947.00s,   1321.78,   62.79°,  11.01,   24.44 dB,    2031.20,  [OK   >=40.00°]
948.00s,   1325.17,   62.44°,  11.00,   24.41 dB,    2028.22,  [OK   >=40.00°]
949.00s,   1328.61,   62.09°,  10.99,   24.37 dB,    2025.21,  [OK   >=40.00°]
950.00s,   1332.09,   61.75°,  10.97,   24.33 dB,    2022.17,  [OK   >=40.00°]
951.00s,   1335.61,   61.40°,  10.96,   24.30 dB,    2019.10,  [OK   >=40.00°]
952.00s,   1339.17,   61.06°,  10.94,   24.26 dB,    2016.00,  [OK   >=40.00°]
953.00s,   1342.77,   60.71°,  10.93,   24.22 dB,    2012.87,  [OK   >=40.00°]
954.00s,   1346.41,   60.37°,  10.91,   24.18 dB,    2009.72,  [OK   >=40.00°]
955.00s,   1350.09,   60.03°,  10.90,   24.14 dB,    2006.53,  [OK   >=40.00°]
956.00s,   1353.81,   59.69°,  10.88,   24.11 dB,    2003.32,  [OK   >=40.00°]
957.00s,   1357.58,   59.36°,  10.87,   24.07 dB,    2000.09,  [OK   >=40.00°]
958.00s,   1361.38,   59.02°,  10.85,   24.03 dB,    1996.82,  [OK   >=40.00°]
959.00s,   1365.22,   58.69°,  10.84,   23.99 dB,    1993.54,  [OK   >=40.00°]
960.00s,   1369.09,   58.36°,  10.82,   23.95 dB,    1990.22,  [OK   >=40.00°]
961.00s,   1373.01,   58.03°,  10.81,   23.91 dB,    1986.89,  [OK   >=40.00°]
962.00s,   1376.96,   57.70°,  10.79,   23.87 dB,    1983.52,  [OK   >=40.00°]
963.00s,   1380.95,   57.37°,  10.78,   23.83 dB,    1980.14,  [OK   >=40.00°]
964.00s,   1384.98,   57.04°,  10.76,   23.78 dB,    1976.73,  [OK   >=40.00°]
965.00s,   1389.05,   56.72°,  10.74,   23.74 dB,    1973.30,  [OK   >=40.00°]
966.00s,   1393.15,   56.40°,  10.73,   23.70 dB,    1969.84,  [OK   >=40.00°]
967.00s,   1397.29,   56.08°,  10.71,   23.66 dB,    1966.37,  [OK   >=40.00°]
968.00s,   1401.46,   55.76°,  10.70,   23.62 dB,    1962.87,  [OK   >=40.00°]
969.00s,   1405.67,   55.44°,  10.68,   23.57 dB,    1959.35,  [OK   >=40.00°]
970.00s,   1409.91,   55.12°,  10.66,   23.53 dB,    1955.82,  [OK   >=40.00°]
971.00s,   1414.19,   54.81°,  10.65,   23.49 dB,    1952.26,  [OK   >=40.00°]
972.00s,   1418.50,   54.49°,  10.63,   23.44 dB,    1948.68,  [OK   >=40.00°]
973.00s,   1422.85,   54.18°,  10.61,   23.40 dB,    1945.08,  [OK   >=40.00°]
974.00s,   1427.23,   53.87°,  10.60,   23.36 dB,    1941.46,  [OK   >=40.00°]
975.00s,   1431.65,   53.56°,  10.58,   23.31 dB,    1937.83,  [OK   >=40.00°]
976.00s,   1436.10,   53.26°,  10.56,   23.27 dB,    1934.18,  [OK   >=40.00°]
977.00s,   1440.58,   52.95°,  10.54,   23.22 dB,    1930.50,  [OK   >=40.00°]
978.00s,   1445.09,   52.65°,  10.53,   23.18 dB,    1926.82,  [OK   >=40.00°]
979.00s,   1449.64,   52.35°,  10.51,   23.14 dB,    1923.11,  [OK   >=40.00°]
980.00s,   1454.21,   52.05°,  10.49,   23.09 dB,    1919.39,  [OK   >=40.00°]
981.00s,   1458.82,   51.75°,  10.47,   23.05 dB,    1915.65,  [OK   >=40.00°]
982.00s,   1463.47,   51.45°,  10.46,   23.00 dB,    1911.90,  [OK   >=40.00°]
983.00s,   1468.14,   51.16°,  10.44,   22.95 dB,    1908.13,  [OK   >=40.00°]
984.00s,   1472.84,   50.86°,  10.42,   22.91 dB,    1904.35,  [OK   >=40.00°]
985.00s,   1477.57,   50.57°,  10.40,   22.86 dB,    1900.55,  [OK   >=40.00°]
986.00s,   1482.34,   50.28°,  10.38,   22.82 dB,    1896.74,  [OK   >=40.00°]
987.00s,   1487.13,   49.99°,  10.36,   22.77 dB,    1892.91,  [OK   >=40.00°]
988.00s,   1491.95,   49.71°,  10.35,   22.72 dB,    1889.07,  [OK   >=40.00°]
989.00s,   1496.81,   49.42°,  10.33,   22.68 dB,    1885.22,  [OK   >=40.00°]
990.00s,   1501.69,   49.14°,  10.31,   22.63 dB,    1881.35,  [OK   >=40.00°]
991.00s,   1506.60,   48.85°,  10.29,   22.58 dB,    1877.47,  [OK   >=40.00°]
992.00s,   1511.54,   48.57°,  10.27,   22.54 dB,    1873.58,  [OK   >=40.00°]
993.00s,   1516.50,   48.29°,  10.25,   22.49 dB,    1869.68,  [OK   >=40.00°]
994.00s,   1521.50,   48.02°,  10.23,   22.44 dB,    1865.76,  [OK   >=40.00°]
995.00s,   1526.52,   47.74°,  10.22,   22.39 dB,    1861.83,  [OK   >=40.00°]
996.00s,   1531.57,   47.47°,  10.20,   22.35 dB,    1857.90,  [OK   >=40.00°]
997.00s,   1536.64,   47.19°,  10.18,   22.30 dB,    1853.95,  [OK   >=40.00°]
998.00s,   1541.75,   46.92°,  10.16,   22.25 dB,    1849.99,  [OK   >=40.00°]
999.00s,   1546.88,   46.65°,  10.14,   22.20 dB,    1846.02,  [OK   >=40.00°]
1000.00s,   1552.03,   46.38°,  10.12,   22.15 dB,    1842.04,  [OK   >=40.00°]
1001.00s,   1557.21,   46.12°,  10.10,   22.11 dB,    1838.05,  [OK   >=40.00°]
1002.00s,   1562.42,   45.85°,  10.08,   22.06 dB,    1834.06,  [OK   >=40.00°]
1003.00s,   1567.65,   45.59°,  10.06,   22.01 dB,    1830.05,  [OK   >=40.00°]
1004.00s,   1572.91,   45.32°,  10.04,   21.96 dB,    1826.04,  [OK   >=40.00°]
1005.00s,   1578.19,   45.06°,  10.02,   21.91 dB,    1822.01,  [OK   >=40.00°]
1006.00s,   1583.50,   44.80°,  10.00,   21.86 dB,    1817.98,  [OK   >=40.00°]
1007.00s,   1588.83,   44.55°,   9.98,   21.81 dB,    1813.94,  [OK   >=40.00°]
1008.00s,   1594.19,   44.29°,   9.96,   21.76 dB,    1809.89,  [OK   >=40.00°]
1009.00s,   1599.57,   44.03°,   9.94,   21.72 dB,    1805.84,  [OK   >=40.00°]
1010.00s,   1604.97,   43.78°,   9.92,   21.67 dB,    1801.77,  [OK   >=40.00°]
1011.00s,   1610.40,   43.53°,   9.90,   21.62 dB,    1797.70,  [OK   >=40.00°]
1012.00s,   1615.85,   43.28°,   9.88,   21.57 dB,    1793.63,  [OK   >=40.00°]
1013.00s,   1621.32,   43.03°,   9.86,   21.52 dB,    1789.54,  [OK   >=40.00°]
1014.00s,   1626.82,   42.78°,   9.84,   21.47 dB,    1785.46,  [OK   >=40.00°]
1015.00s,   1632.34,   42.54°,   9.82,   21.42 dB,    1781.36,  [OK   >=40.00°]
1016.00s,   1637.88,   42.29°,   9.80,   21.37 dB,    1777.26,  [OK   >=40.00°]
1017.00s,   1643.44,   42.05°,   9.78,   21.32 dB,    1773.15,  [OK   >=40.00°]
1018.00s,   1649.02,   41.81°,   9.76,   21.27 dB,    1769.04,  [OK   >=40.00°]
1019.00s,   1654.63,   41.57°,   9.74,   21.22 dB,    1764.92,  [OK   >=40.00°]
1020.00s,   1660.26,   41.33°,   9.72,   21.17 dB,    1760.80,  [OK   >=40.00°]
1021.00s,   1665.90,   41.09°,   9.70,   21.12 dB,    1756.67,  [OK   >=40.00°]
1022.00s,   1671.57,   40.85°,   9.68,   21.07 dB,    1752.54,  [OK   >=40.00°]
1023.00s,   1677.26,   40.62°,   9.66,   21.02 dB,    1748.40,  [OK   >=40.00°]
1024.00s,   1682.97,   40.38°,   9.64,   20.97 dB,    1744.26,  [OK   >=40.00°]
1025.00s,   1688.70,   40.15°,   9.62,   20.92 dB,    1740.11,  [OK   >=40.00°]
1026.00s,   1694.45,   39.92°,   9.60,   20.87 dB,       0.00,  [DOWN <40.00°]
1026.00s,   1312.76,   63.75°,  11.05,   24.54 dB,    2039.15,  [OK   >=40.00°]
1027.00s,   1313.64,   63.66°,  11.05,   24.53 dB,    2038.38,  [OK   >=40.00°]
1028.00s,   1314.57,   63.56°,  11.04,   24.52 dB,    2037.56,  [OK   >=40.00°]
1029.00s,   1315.55,   63.45°,  11.04,   24.51 dB,    2036.69,  [OK   >=40.00°]
1030.00s,   1316.58,   63.34°,  11.03,   24.50 dB,    2035.78,  [OK   >=40.00°]
1031.00s,   1317.66,   63.23°,  11.03,   24.49 dB,    2034.83,  [OK   >=40.00°]
1032.00s,   1318.79,   63.11°,  11.03,   24.47 dB,    2033.83,  [OK   >=40.00°]
1033.00s,   1319.97,   62.98°,  11.02,   24.46 dB,    2032.79,  [OK   >=40.00°]
1034.00s,   1321.20,   62.85°,  11.02,   24.45 dB,    2031.71,  [OK   >=40.00°]
1035.00s,   1322.48,   62.72°,  11.01,   24.44 dB,    2030.58,  [OK   >=40.00°]
1036.00s,   1323.81,   62.58°,  11.01,   24.42 dB,    2029.41,  [OK   >=40.00°]
1037.00s,   1325.20,   62.44°,  11.00,   24.41 dB,    2028.20,  [OK   >=40.00°]
1038.00s,   1326.63,   62.30°,  10.99,   24.39 dB,    2026.95,  [OK   >=40.00°]
1039.00s,   1328.11,   62.15°,  10.99,   24.38 dB,    2025.65,  [OK   >=40.00°]
1040.00s,   1329.64,   61.99°,  10.98,   24.36 dB,    2024.31,  [OK   >=40.00°]
1041.00s,   1331.22,   61.83°,  10.98,   24.34 dB,    2022.93,  [OK   >=40.00°]
1042.00s,   1332.84,   61.67°,  10.97,   24.33 dB,    2021.51,  [OK   >=40.00°]
1043.00s,   1334.52,   61.51°,  10.96,   24.31 dB,    2020.05,  [OK   >=40.00°]
1044.00s,   1336.24,   61.34°,  10.96,   24.29 dB,    2018.54,  [OK   >=40.00°]
1045.00s,   1338.02,   61.17°,  10.95,   24.27 dB,    2017.00,  [OK   >=40.00°]
